year,naics_4,dmarkup
2013,313110,.024626851
2014,313110,.013451099
2015,313110,.013629436
2001,313210,.006449461
2002,313210,.032813072
2003,313210,.081219673
2004,313210,.058883071
2005,313210,.0031974316
2006,313210,-.052893639
2007,313210,-.046476007
2008,313210,-.0030422211
2009,313210,.066180348
2010,313210,.014306903
2011,313210,-.0089273453
2012,313210,.022523761
2013,313210,-.016989708
2014,313210,.030916691
2015,313210,.033641934
2001,314110,-.015747905
2002,314110,.028755546
2003,314110,-.0025457144
2004,314110,.0048205853
2005,314110,-.017414927
2006,314110,.035334945
2007,314110,.012464046
2008,314110,-.02638495
2009,314110,-.0029635429
2010,314110,.043645263
2011,314110,-.025180101
2012,314110,-.0001938343
2013,314110,.0031825304
2014,314110,.0087881088
2015,314110,.054448605
2001,315220,.005374074
2002,315220,.028294206
2003,315220,-.0089709759
2004,315220,.062641978
2005,315220,.037883878
2006,315220,.03330338
2007,315220,-.0015832186
2008,315220,.031345963
2009,315220,.014132142
2010,315220,.060571432
2011,315220,-.050302982
2012,315220,-.0087852478
2013,315220,.042012453
2014,315220,-.020936728
2015,315220,.0080868006
2001,315240,-.016684413
2002,315240,.048762798
2003,315240,.015657425
2004,315240,-.033172011
2005,315240,.016257882
2006,315240,.038349271
2007,315240,.068266988
2008,315240,.032041311
2009,315240,.041786075
2010,315240,.061966419
2011,315240,.064838648
2012,315240,.00033843517
2013,315240,-.012417674
2014,315240,-.061308503
2015,315240,-.037678361
2001,315280,-.03471446
2002,315280,.048606277
2003,315280,.09536612
2004,315280,.045783639
2005,315280,.0052262545
2006,315280,.022255778
2007,315280,-.011507988
2008,315280,.021560192
2009,315280,-.043892741
2010,315280,.077033401
2011,315280,-.066909909
2012,315280,-.09454298
2013,315280,.027361155
2014,315280,-.047659874
2015,315280,-.05359447
2001,315990,-.018634915
2002,315990,-.011105895
2003,315990,-.0060138702
2004,315990,-.014140725
2005,315990,.01371944
2006,315990,-.0025272369
2007,315990,.048411489
2008,315990,-.03847158
2009,315990,.04661715
2010,315990,.017223477
2011,315990,-.066675663
2012,315990,-.0041408539
2013,315990,-.045270681
2014,315990,.075396895
2015,315990,.04020381
2001,316210,.0068464279
2002,316210,.029358149
2003,316210,.033857346
2004,316210,.028336406
2005,316210,-.0087981224
2006,316210,-.0014003515
2007,316210,.035609484
2008,316210,-.027525783
2009,316210,.040249467
2010,316210,-.0098791122
2011,316210,-.071213007
2012,316210,.012761593
2013,316210,.028508663
2014,316210,.024161935
2015,316210,.0025546551
2001,321211,-.0095041394
2002,321211,.053239405
2003,321211,-.013121545
2004,321211,.00046861172
2005,321211,-.0030286908
2006,321211,.0060087442
2007,321211,.0043440461
2008,321211,-.022350132
2009,321211,-.0028954148
2010,321211,.0024352074
2011,321211,.037973523
2012,321211,.016474307
2013,321211,.014058888
2014,321211,.017017126
2015,321211,.014551699
2001,321992,.013156891
2002,321992,-.029118359
2003,321992,-.021773756
2004,321992,.050906539
2005,321992,.014102221
2006,321992,.0047014952
2007,321992,-.02495575
2008,321992,-.011997044
2009,321992,-.019553542
2010,321992,-.01641494
2011,321992,.037160695
2012,321992,-.0025778413
2013,321992,.024571896
2014,321992,.0099945068
2015,321992,.069048285
2001,322121,.015622377
2002,322121,-.066370964
2003,322121,-.015821934
2004,322121,.013188243
2005,322121,.0092021227
2006,322121,-.0057469606
2007,322121,-.02998805
2008,322121,-.036720276
2009,322121,.023228168
2010,322121,.0062266588
2011,322121,.088050842
2012,322121,-.0095797777
2013,322121,-.021918774
2014,322121,.010871291
2015,322121,-.0055758953
2001,322130,-.033409595
2002,322130,-.013422847
2003,322130,-.026076317
2004,322130,.0053011179
2005,322130,-.017645359
2006,322130,.011695147
2007,322130,-.0016988516
2008,322130,-.029775739
2009,322130,.034754515
2010,322130,.002256155
2011,322130,.026997209
2012,322130,-.012256861
2013,322130,.0081608295
2014,322130,.030679941
2015,322130,-.01019001
2001,322211,-.021793008
2002,322211,-.019844294
2003,322211,-.023900628
2004,322211,-.013935447
2005,322211,-.01537776
2006,322211,.043403387
2007,322211,.034350157
2008,322211,-.0073400736
2009,322211,.065240622
2010,322211,-.017912269
2011,322211,-.029143214
2012,322211,.0011175871
2013,322211,.036512613
2014,322211,.0099592209
2015,322211,-.0024484396
2001,322212,-.036834121
2002,322212,.0028884411
2003,322212,.020323157
2004,322212,.0017033815
2005,322212,-.04938066
2006,322212,-.010475755
2007,322212,.026293397
2008,322212,-.029672265
2009,322212,.025710225
2010,322212,.015164137
2011,322212,.0042881966
2012,322212,.014285803
2013,322212,-.0032765865
2014,322212,.032765031
2015,322212,.010412931
2001,322219,-.01962626
2002,322219,-.011362672
2003,322219,-.025797486
2004,322219,-.0097249746
2005,322219,-.0031599998
2006,322219,-.00079929829
2007,322219,.0014753342
2008,322219,-.0074317455
2009,322219,.013650656
2010,322219,.0071268082
2011,322219,-.010671258
2012,322219,.0029438734
2013,322219,.0084187984
2014,322219,.00085198879
2015,322219,.0093176365
2001,322220,-.016045213
2002,322220,.0048210621
2003,322220,-.0018744469
2004,322220,.016622066
2005,322220,.0088623762
2006,322220,-.026454568
2007,322220,-.031065106
2008,322220,-.020893097
2009,322220,.011319876
2010,322220,.0021691322
2011,322220,-.016085148
2012,322220,.035732627
2013,322220,.01529634
2014,322220,.020158172
2015,322220,.04262042
2001,322230,-.052660823
2002,322230,.0048979521
2003,322230,.00037920475
2004,322230,.001932621
2005,322230,-.0056649446
2006,322230,-.005897522
2007,322230,.023006082
2008,322230,.0043236017
2009,322230,-.027279258
2010,322230,-.0027786493
2011,322230,-.0027500391
2012,322230,-.0027316809
2013,322230,-.028087497
2014,322230,-.0092329979
2015,322230,.0072062016
2001,323111,-.018810868
2002,323111,.00015103817
2003,323111,-.0083853006
2004,323111,.010182023
2005,323111,-.039590597
2006,323111,.002956152
2007,323111,.0021737814
2008,323111,.021240473
2009,323111,.0091010332
2010,323111,.028820634
2011,323111,-.0074973106
2012,323111,-.011780739
2013,323111,-.0072869062
2014,323111,-.029881835
2015,323111,.0099382401
2001,324110,-.036780477
2002,324110,-.038398743
2003,324110,.034109116
2004,324110,.0014357567
2005,324110,.061965227
2006,324110,-.015521169
2007,324110,-.00021779537
2008,324110,-.035474896
2009,324110,.011264086
2010,324110,-.011031985
2011,324110,-.013202548
2012,324110,-.02119422
2013,324110,-.013509989
2014,324110,.00058543682
2015,324110,-.017579913
2001,324122,-.013264418
2002,324122,.017635107
2003,324122,.0048987865
2004,324122,.01643908
2005,324122,.0028749704
2006,324122,-.010246396
2007,324122,.020934224
2008,324122,.011970878
2009,324122,-.042571187
2010,324122,.00086140633
2011,324122,.0034925938
2012,324122,.063552022
2013,324122,.01173377
2014,324122,-.0013560057
2015,324122,.061255574
2001,325120,-.014464498
2002,325120,.046906471
2003,325120,-.040014625
2004,325120,-.0015479326
2005,325120,-.035339475
2006,325120,-.094597936
2007,325120,.0217309
2008,325120,-.0090602636
2009,325120,.065586329
2010,325120,.0021958351
2011,325120,-.01436317
2012,325120,-.00048577785
2013,325120,.011006951
2014,325120,.0040838718
2015,325120,.044086099
2001,325199,-.018548846
2002,325199,.0093232393
2003,325199,.017121792
2004,325199,.044914007
2005,325199,-.023943186
2006,325199,-.017996788
2007,325199,.011948347
2008,325199,-.041772246
2009,325199,-.00027537346
2010,325199,.02169168
2011,325199,.010919571
2012,325199,-.0049192905
2013,325199,.052329779
2014,325199,.026305199
2015,325199,.01777482
2001,325211,-.058330655
2002,325211,.0047676563
2003,325211,-.014454603
2004,325211,.022270322
2005,325211,.033108473
2006,325211,-.022929788
2007,325211,-.026076674
2008,325211,-.033370614
2009,325211,.032431006
2010,325211,.029389858
2011,325211,-.011735797
2012,325211,.0046980381
2013,325211,.011082768
2014,325211,.0076628923
2015,325211,.053457499
2001,325212,-.032098413
2002,325212,.026560068
2003,325212,-.077451944
2004,325212,-.0049637556
2005,325212,.022454739
2006,325212,-.016764045
2007,325212,-.010269284
2008,325212,-.041107655
2009,325212,.022516131
2010,325212,.0097922087
2011,325212,.0056186914
2012,325212,.0252316
2013,325212,-.05356586
2014,325212,.0037053823
2015,325212,.011605024
2001,325320,.028790712
2002,325320,-.032869101
2003,325320,-.018128633
2004,325320,.00060594082
2005,325320,.025536656
2006,325320,-.012010813
2007,325320,.052385449
2008,325320,.0080074072
2009,325320,-.0083444118
2010,325320,.053183675
2011,325320,-.0037434101
