year,fage,firms,estabs,emp
2001,4,264942,276583,2656200
2001,5,236084,248156,2613076
2001,6-10,888885,962049,11103117
2001,11-15,666015,766855,11320623
2001,16-20,478098,573643,9139251
2001,21-25,277560,362499,6467122
2001,Left Censored,744143,1763547,60269267
2002,0,455356,461071,3032369
2002,1,331554,339096,2324462
2002,2,291069,299699,2341945
2002,3,262732,272067,2261177
2002,4,253390,264474,2545436
2002,5,239950,254323,2457993
2002,6-10,904546,985524,11062026
2002,11-15,647924,740887,10163046
2002,16-20,500509,603380,9482516
2002,21-25,333888,437368,7749508
2002,Left Censored,708668,1734604,58386028
2003,0,467762,470574,2593089
2003,1,349892,356931,2957822
2003,2,288280,296156,2269379
2003,3,259271,268880,2265340
2003,4,238131,248069,2224904
2003,5,231800,244552,2414722
2003,6-10,929053,1011479,11268621
2003,11-15,638997,722808,9629631
2003,16-20,517584,630251,10396353
2003,21-25,332156,425834,7464021
2003,26+,59774,84695,1691051
2003,Left Censored,679808,1699946,57304033
2004,0,505317,508168,2799257
2004,1,360498,363998,2621991
2004,2,304419,312061,2869879
2004,3,257327,265240,2222151
2004,4,234939,244604,2211191
2004,5,216992,227633,2163338
2004,6-10,939434,1020756,11415833
2004,11-15,636115,713759,9475586
2004,16-20,528164,646163,10654311
2004,21-25,332988,420121,7565755
2004,26+,117416,168064,3174247
2004,Left Censored,651968,1677260,56989080
2005,0,519121,524641,2941191
2005,1,388576,392816,2763361
2005,2,310456,315042,2475191
2005,3,270965,279445,2729416
2005,4,232637,241182,2154411
2005,5,214499,224762,2147483
2005,6-10,926594,1002405,11011054
2005,11-15,637578,720579,9412902
2005,16-20,509878,626535,10337748
2005,21-25,362896,459177,7943860
2005,26+,169658,240499,4779074
2005,Left Censored,624363,1650178,56741288
2006,0,541738,544076,2952904
2006,1,399604,407648,2976583
2006,2,336807,343099,2721710
2006,3,275397,282097,2435632
2006,4,245706,256763,2715847
2006,5,212621,222496,2174979
2006,6-10,908043,983744,11081544
2006,11-15,642436,734062,9748865
2006,16-20,506415,626087,10428294
2006,21-25,377002,482797,8486635
2006,26+,216541,308507,6219744
2006,Left Censored,594080,1648934,57331314
2007,0,509904,514793,2696220
