year,fage,firms,estabs,emp
1992,g) 6 to 10,875214,957604,9928722
1992,h) 11 to 15,564094,655009,7958586
1992,i) 16 to 20,X,X,X
1992,j) 21 to 25,X,X,X
1992,k) 26+,X,X,X
1992,l) Left Censored,1149720,2103729,58946344
1993,a) 0,461076,465079,2540209
1993,b) 1,336934,345450,2600784
1993,c) 2,291401,300562,2235206
1993,d) 3,272005,283278,2279755
1993,e) 4,246288,259963,2325514
1993,f) 5,223627,239344,2323199
1993,g) 6 to 10,908186,993537,10805200
1993,h) 11 to 15,558613,641629,7878130
1993,i) 16 to 20,100215,122707,1651442
1993,j) 21 to 25,X,X,X
1993,k) 26+,X,X,X
1993,l) Left Censored,1096945,2030159,58456502
1994,a) 0,475987,480959,2687752
1994,b) 1,349743,355190,2486130
1994,c) 2,288970,298406,2449725
1994,d) 3,258039,267690,2141492
1994,e) 4,245470,257259,2204720
1994,f) 5,224459,238908,2256017
1994,g) 6 to 10,929173,1018467,11341484
1994,h) 11 to 15,558260,638112,7989680
1994,i) 16 to 20,195452,238767,3292022
1994,j) 21 to 25,X,X,X
1994,k) 26+,X,X,X
1994,l) Left Censored,1049469,1995955,58788745
1995,a) 0,494993,500344,2791721
1995,b) 1,365287,371886,2670012
1995,c) 2,299826,306672,2420356
1995,d) 3,256854,267080,2372604
1995,e) 4,233984,244299,2098071
1995,f) 5,225105,237354,2203470
1995,g) 6 to 10,917550,1008917,11642188
1995,h) 11 to 15,597175,680851,8578420
1995,i) 16 to 20,282023,342039,4860549
1995,j) 21 to 25,X,X,X
1995,k) 26+,X,X,X
1995,l) Left Censored,1000963,1960897,59373328
1996,a) 0,493270,495289,2796451
1996,b) 1,378446,386503,2713503
1996,c) 2,312810,321531,2578172
1996,d) 3,264744,273020,2292452
1996,e) 4,231057,242466,2287427
1996,f) 5,213139,224616,2025484
1996,g) 6 to 10,911946,1001117,11412323
1996,h) 11 to 15,618578,707704,9032132
1996,i) 16 to 20,356473,433851,6153638
1996,j) 21 to 25,X,X,X
1996,k) 26+,X,X,X
1996,l) Left Censored,940816,1912406,58747626
1997,a) 0,494468,502933,2808431
1997,b) 1,375652,385030,2759439
1997,c) 2,322249,333572,2626479
1997,d) 3,275028,293220,2655070
1997,e) 4,237368,249210,2267104
1997,f) 5,209875,222410,2248490
1997,g) 6 to 10,890501,972069,10984187
1997,h) 11 to 15,647061,742404,9919584
1997,i) 16 to 20,429745,523207,7861466
1997,j) 21 to 25,X,X,X
1997,k) 26+,X,X,X
1997,l) Left Censored,894241,1851249,58964223
1998,a) 0,477232,479638,2782412
1998,b) 1,383022,392333,2862122
1998,c) 2,323029,332831,2693513
1998,d) 3,285830,298004,2567608
1998,e) 4,248341,268458,2655347
1998,f) 5,216716,228747,2234743
1998,g) 6 to 10,880131,952340,10759199
1998,h) 11 to 15,673162,778976,11201345
1998,i) 16 to 20,428444,516316,7911447
1998,j) 21 to 25,77464,100815,1826162
1998,k) 26+,X,X,X
1998,l) Left Censored,859989,1838926,60181572
1999,a) 0,451324,454968,2467686
1999,b) 1,368656,372456,2769284
1999,c) 2,330372,341235,2783328
1999,d) 3,286898,297545,2625630
1999,e) 4,258458,270961,2513560
1999,f) 5,227405,246095,2586479
1999,g) 6 to 10,874998,944416,10604096
1999,h) 11 to 15,686809,796129,11649889
1999,i) 16 to 20,427465,511887,8098536
1999,j) 21 to 25,150913,199088,3385712
1999,k) 26+,X,X,X
1999,l) Left Censored,819629,1811306,60313620
2000,a) 0,446302,451083,2552310
2000,b) 1,347085,351488,2586303
2000,c) 2,318673,323478,2810805
2000,d) 3,293170,304634,2816359
2000,e) 4,258460,269715,2653515
2000,f) 5,235236,248905,2518538
2000,g) 6 to 10,876585,948555,11085054
2000,h) 11 to 15,668440,773097,11707882
2000,i) 16 to 20,459224,550631,8657305
2000,j) 21 to 25,217449,284621,5075836
2000,k) 26+,X,X,X
2000,l) Left Censored,782060,1795099,61117090
2001,a) 0,437112,441350,2461299
2001,b) 1,340539,346486,2541566
2001,c) 2,297685,303405,2472463
2001,d) 3,281972,288243,2725147
2001,e) 4,264942,276583,2656200
2001,f) 5,236084,248156,2613076
2001,g) 6 to 10,888885,962049,11103117
2001,h) 11 to 15,666015,766855,11320623
2001,i) 16 to 20,478098,573643,9139251
2001,j) 21 to 25,277560,362499,6467122
2001,k) 26+,X,X,X
2001,l) Left Censored,744143,1763547,60269267
2002,a) 0,455356,461071,3032369
2002,b) 1,331554,339096,2324462
2002,c) 2,291069,299699,2341945
2002,d) 3,262732,272067,2261177
2002,e) 4,253390,264474,2545436
2002,f) 5,239950,254323,2457993
2002,g) 6 to 10,904546,985524,11062026
2002,h) 11 to 15,647924,740887,10163046
2002,i) 16 to 20,500509,603380,9482516
2002,j) 21 to 25,333888,437368,7749508
2002,k) 26+,X,X,X
2002,l) Left Censored,708668,1734604,58386028
2003,a) 0,467762,470574,2593089
2003,b) 1,349892,356931,2957822
2003,c) 2,288280,296156,2269379
2003,d) 3,259271,268880,2265340
2003,e) 4,238131,248069,2224904
2003,f) 5,231800,244552,2414722
2003,g) 6 to 10,929053,1011479,11268621
2003,h) 11 to 15,638997,722808,9629631
2003,i) 16 to 20,517584,630251,10396353
2003,j) 21 to 25,332156,425834,7464021
2003,k) 26+,59774,84695,1691051
2003,l) Left Censored,679808,1699946,57304033
2004,a) 0,505317,508168,2799257
2004,b) 1,360498,363998,2621991
2004,c) 2,304419,312061,2869879
2004,d) 3,257327,265240,2222151
2004,e) 4,234939,244604,2211191
2004,f) 5,216992,227633,2163338
2004,g) 6 to 10,939434,1020756,11415833
2004,h) 11 to 15,636115,713759,9475586
